user_query,selected_tables_embedding,rel_tables_gpt
Determine the from place in the Certificate of Origin document named 45A_46A_47A_testing_pdf1_3.png.,"[('COO: contains the certificate of origin document information', 0.70524526), ('classification_table: contains the document class information', 0.4209851)]",['COO']
Find the policy effective date in the Insurance Certificate document named pdf11_7.png.,"[('IC: contains the insurance certificate document information', 0.5148679), ('CI: contains the commercial invoice document information', 0.30149662)]",['IC: Insurance Certificate']
Retrieve the set number from the Insurance Certificate document named pdf16_5.png.,"[('IC: contains the insurance certificate document information', 0.52421373), ('COO: contains the certificate of origin document information', 0.33813238)]",['IC: Insurance Certificate']
Identify the premium amount in the Insurance Certificate document named pdf12_6.png.,"[('IC: contains the insurance certificate document information', 0.6262578), ('CI: contains the commercial invoice document information', 0.4327469)]",['IC: Insurance Certificate']
Locate the claim payable in the Insurance Certificate document named pdf12_7.png.,"[('IC: contains the insurance certificate document information', 0.5611975), ('COO: contains the certificate of origin document information', 0.36969748)]",['IC: Insurance Certificate']
Find the vessel or flight number in the Insurance Certificate document named pdf10_6.png.,"[('IC: contains the insurance certificate document information', 0.5391946), ('AWB: contains the airway bill document information', 0.39627182)]",['IC: Insurance Certificate']
Determine the name of assured in the Insurance Certificate document named 11133_test_jun13_23.png.,"[('IC: contains the insurance certificate document information', 0.62317646), ('COO: contains the certificate of origin document information', 0.42428124)]",['IC: Insurance Certificate']
Identify the mode of transport in the Insurance Certificate document named 11133_test_jun13_24.png.,"[('IC: contains the insurance certificate document information', 0.51441836), ('COO: contains the certificate of origin document information', 0.36918277)]",['IC: Insurance Certificate']
Locate the signed by agent in the Insurance Certificate document named 11133_test_jun13_25.png.,"[('IC: contains the insurance certificate document information', 0.47183028), ('COO: contains the certificate of origin document information', 0.41511858)]",['IC: Insurance Certificate']
Find the BL number in the Insurance Certificate document named 11133_test_jun13_26.png.,"[('IC: contains the insurance certificate document information', 0.4681937), ('COO: contains the certificate of origin document information', 0.368398)]",['IC: Insurance Certificate']
Retrieve the consignee address from the Insurance Certificate document named 11133_test_jun13_27.png.,"[('IC: contains the insurance certificate document information', 0.4745915), ('COO: contains the certificate of origin document information', 0.46451122)]",['IC: Insurance Certificate']
Determine the total pages in the Insurance Certificate document named 11133_test_jun13_28.png.,"[('IC: contains the insurance certificate document information', 0.5328511), ('COO: contains the certificate of origin document information', 0.39846054)]",['IC: Insurance Certificate']
Find the policy effective date in the Insurance Certificate document named 45A_46A_47A_testing_pdf1_8.png.,"[('IC: contains the insurance certificate document information', 0.5014006), ('CS: contains the covering schedule document information', 0.3156413)]",['IC: Insurance Certificate']
Locate the policy effective date in the Insurance Certificate document named pdf14_6.png.,"[('IC: contains the insurance certificate document information', 0.5251466), ('CI: contains the commercial invoice document information', 0.3148466)]",['IC: Insurance Certificate']
Identify the premium currency in the Insurance Certificate document named pdf14_7.png.,"[('IC: contains the insurance certificate document information', 0.6055731), ('CI: contains the commercial invoice document information', 0.4357978)]",['IC: Insurance Certificate']
Retrieve the claim payable by address from the Insurance Certificate document named pdf15_11.png.,"[('IC: contains the insurance certificate document information', 0.5331546), ('COO: contains the certificate of origin document information', 0.37310922)]",['IC: Insurance Certificate']
Find the vessel or flight name in the Insurance Certificate document named pdf13_17.png.,"[('IC: contains the insurance certificate document information', 0.49851155), ('COO: contains the certificate of origin document information', 0.3993356)]",['IC: Insurance Certificate']
Determine the AWB date in the Packing List document named pdf11_3.png.,"[('PL: contains the packing list document information', 0.5171256), ('CS: contains the covering schedule document information', 0.44985333)]","['PL', 'AWB']"
Locate the remitter address in the Packing List document named pdf16_3.png.,"[('PL: contains the packing list document information', 0.52460414), ('COO: contains the certificate of origin document information', 0.3584039)]",['PL']
Find the original copy in the Packing List document named pdf12_3.png.,"[('PL: contains the packing list document information', 0.60110486), ('classification_table: contains the document class information', 0.28252974)]",['PL']
Retrieve the vessel name in the Packing List document named pdf10_3.png.,"[('PL: contains the packing list document information', 0.6054718), ('classification_table: contains the document class information', 0.38410154)]",['BOL']
Identify the total quantity of goods units in the Packing List document named 11133_test_jun13_9.png.,"[('PL: contains the packing list document information', 0.62770206), ('classification_table: contains the document class information', 0.35981)]",['PL']
Find the shipper address in the Packing List document named 11133_test_jun13_11.png.,"[('PL: contains the packing list document information', 0.56557655), ('classification_table: contains the document class information', 0.3628847)]",['PL']
Determine the set ID in the Packing List document named 11133_test_jun13_12.png.,"[('PL: contains the packing list document information', 0.63706046), ('classification_table: contains the document class information', 0.42365876)]",['PL']
Locate the beneficiary drawer exporter seller supplier TIN number in the Packing List document named 11133_test_jun13_14.png.,"[('PL: contains the packing list document information', 0.47188455), ('COO: contains the certificate of origin document information', 0.31151643)]",['PL']
Find the remitter drawee applicant importer buyer name in the Packing List document named 11133_test_jun13_16.png.,"[('PL: contains the packing list document information', 0.4181654), ('COO: contains the certificate of origin document information', 0.3120016)]",['PL']
Identify the country of final destination in the Packing List document named 11133_test_jun13_17.png.,"[('PL: contains the packing list document information', 0.5473804), ('classification_table: contains the document class information', 0.36572242)]",['PL']
Retrieve the LC reference number from the Packing List document named 11133_test_jun13_19.png.,"[('PL: contains the packing list document information', 0.6301944), ('classification_table: contains the document class information', 0.4545588)]",['PL']
Find the net weight in the Packing List document named 11133_test_jun13_20.png.,"[('PL: contains the packing list document information', 0.60122794), ('classification_table: contains the document class information', 0.37520558)]",['PL']
Determine the set ID in the Packing List document named 11133_test_jun13_21.png.,"[('PL: contains the packing list document information', 0.6235985), ('classification_table: contains the document class information', 0.41233483)]",['PL']
Locate the net weight units in the Packing List document named 11133_test_jun13_22.png.,"[('PL: contains the packing list document information', 0.5926654), ('classification_table: contains the document class information', 0.34937412)]",['PL']
Identify the beneficiary address in the Packing List document named pdf14_3.png.,"[('PL: contains the packing list document information', 0.60034513), ('IC: contains the insurance certificate document information', 0.4468081)]",['PL']
Find the total pages in the Packing List document named pdf15_3.png.,"[('PL: contains the packing list document information', 0.6249216), ('CS: contains the covering schedule document information', 0.3845736)]",['PL']
Determine the port of discharge in the Packing List document named pdf13_3.png.,"[('PL: contains the packing list document information', 0.55807495), ('AWB: contains the airway bill document information', 0.3357272)]",['PL']
Retrieve the rate per unit from the Packing List document named pdf13_4.png.,"[('PL: contains the packing list document information', 0.54169464), ('CS: contains the covering schedule document information', 0.32643664)]",['PL']
Locate the AWB date in the Packing List document named pdf13_5.png.,"[('PL: contains the packing list document information', 0.47921017), ('AWB: contains the airway bill document information', 0.43435907)]","['AWB', 'PL']"
Find the remitter address in the Packing List document named pdf13_6.png.,"[('PL: contains the packing list document information', 0.5827731), ('classification_table: contains the document class information', 0.32944658)]",['PL']
Identify the bill of lading date in the Packing List document named pdf13_7.png.,"[('PL: contains the packing list document information', 0.6018651), ('CS: contains the covering schedule document information', 0.4337691)]",['BOL']
Retrieve the remitter address in the Packing List document named pdf13_8.png.,"[('PL: contains the packing list document information', 0.5524913), ('COO: contains the certificate of origin document information', 0.38351348)]",['PL']
Determine the AWB number in the Packing List document named pdf13_9.png.,"[('PL: contains the packing list document information', 0.59758115), ('AWB: contains the airway bill document information', 0.49315768)]","['PL', 'AWB']"
Find the port of loading country in the Packing List document named pdf13_10.png.,"[('PL: contains the packing list document information', 0.5482279), ('AWB: contains the airway bill document information', 0.3055696)]",['PL']
Identify the IS stamp in the Packing List document named pdf13_11.png.,"[('PL: contains the packing list document information', 0.62718874), ('classification_table: contains the document class information', 0.3664516)]",['PL']
Locate the AWB date in the Packing List document named pdf13_12.png.,"[('PL: contains the packing list document information', 0.4752573), ('AWB: contains the airway bill document information', 0.432347)]","['AWB', 'PL']"
Find the IS signed status in the Packing List document named pdf13_13.png.,"[('PL: contains the packing list document information', 0.59922695), ('CS: contains the covering schedule document information', 0.3902663)]",['PL']
Determine the beneficiary country in the Packing List document named pdf13_14.png.,"[('PL: contains the packing list document information', 0.5546781), ('IC: contains the insurance certificate document information', 0.393372)]",['PL']
Retrieve the AWB number from the Packing List document named pdf13_15.png.,"[('PL: contains the packing list document information', 0.54987776), ('AWB: contains the airway bill document information', 0.47790125)]",['AWB']
